date_debut,date_fin,devise,tarif_lettre_prioritaire,tarif_lettre_verte,tarif_ecopli
2020-01-01,,EUR,1.16,0.97,0.95
2019-01-01,2020-01-01,EUR,1.05,0.88,0.86
2018-01-01,2019-01-01,EUR,0.95,0.80,0.78
2017-01-01,2018-01-01,EUR,0.85,0.73,0.71
2016-01-01,2017-01-01,EUR,0.80,0.70,0.68
2015-01-01,2016-01-01,EUR,0.76,0.68,0.66
2014-01-01,2015-01-01,EUR,0.66,0.61,0.59
2013-01-01,2014-01-01,EUR,0.63,0.58,0.56
2011-10-01,2013-01-01,EUR,0.60,0.57,0.55
2011-07-01,2011-10-01,EUR,0.60,,0.55
2010-07-01,2011-07-01,EUR,0.58,,0.53
2009-03-02,2010-07-01,EUR,0.56,,0.51
2008-03-01,2009-03-02,EUR,0.55,,0.50
2006-10-01,2008-03-01,EUR,0.54,,0.49
2005-03-01,2006-10-01,EUR,0.53,,0.41
2003-06-01,2005-03-01,EUR,0.50,,0.41
2001-12-31,2003-06-01,EUR,0.46,,0.41
1996-03-18,2001-12-31,FRF,3.00,,2.70
1993-07-05,1996-03-18,FRF,2.80,,2.40
1992-08-10,1993-07-05,FRF,2.50,,2.20
1990-01-11,1992-08-10,FRF,2.30,,
1988-08-16,1990-01-11,FRF,2.20,,
1984-07-01,1988-08-16,FRF,2.10,,
1983-06-01,1984-07-01,FRF,2.00,,
